issue,title,validator comment,grade,size,Best
validation-273,QA Report,"3L(2,4,11)",Satisfactory,1,✰✰✰
validation-233,QA Report,"4L(4,9,14,15)",Satisfactory,1,★✰✰
validation-225,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-215,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-180,QA Report,1L(1),Unsatisfactory,1,✰✰✰
validation-176,QA Report,"2L(1,2)",Satisfactory,1,✰✰✰
validation-161,QA Report,1L(1),Unsatisfactory,1,✰✰✰
validation-158,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-154,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-153,QA Report,1L(2),Unsatisfactory,1,✰✰✰
validation-146,QA Report,1L(1),Unsatisfactory,1,✰✰✰
validation-140,Gas Optimizations,most valid items,Satisfactory,1,★★★
validation-139,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-127,QA Report,1L(12),Unsatisfactory,1,✰✰✰
validation-119,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-87,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-70,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-44,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-39,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-37,QA Report,1L(1),Unsatisfactory,1,✰✰✰
validation-36,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-35,Gas Optimizations,invalid,Unsatisfactory,1,✰✰✰
validation-25,Gas Optimizations,too few items,Unsatisfactory,1,✰✰✰
validation-23,Gas Optimizations,too few items,Unsatisfactory,1,✰✰✰
validation-7,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-6,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-5,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-3,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-2,Gas Optimizations,too few items,Unsatisfactory,1,✰✰✰
findings-34,QA Report,"2M(3,4)  6L(1,2,6,7,9,11)",Satisfactory,1,★★★
findings-19,QA Report,"5L(1,2,3,4,8)",Satisfactory,1,★✰✰
findings-7,QA Report,"L(1,2)",Satisfactory,1,✰✰✰
validation-279,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-271,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-174,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-124,Gas Optimizations,too few items,Unsatisfactory,1,✰✰✰
validation-99,QA Report,0L,Unsatisfactory,1,✰✰✰
validation-19,QA Report,Too many false positives,Unsatisfactory,1,✰✰✰
validation-17,QA Report,0L,Unsatisfactory,1,✰✰✰
